"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6728100","09014236221000743001000000U5","CONSTRUCCIONES Y PROYECTOS JUVA","CONSTRUCCIONES Y PROYECTOS JUVA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"BULGARIA","AVENIDA","DOCTOR JOSU MARIA VURTIZ","CALLE","MONTE ALBAN","CALLE","MIGUEL LAURENT","505",,"2","19","3",,"COLONIA","LETRAN VALLE","EDIFICIO COMERCIAL Y DE SERVICIOS",,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0632","030",,,,"Fijo","19.37474603","-99.15382845","2016-01"
"6144595","09014236111000845001000000U1","CONSTRUCTORA ARIE","CONSTRUCTORA ARIE SA DE CV","236111","Edificación de vivienda unifamiliar","11 a 30 personas","CALLE","IXCATEOPAN","CALLE","CHICHUN ITZA","CALLE","PILARES","CALLE","UXMAL","146",,,,,,"COLONIA","LETRAN VALLE",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","018",,,,"Fijo","19.37698193","-99.15797508","2010-07"
"6144826","09014236111000793011040368M3","CONSTRUCTORA FACTOR EFICIENCIA",,"236112","Edificación de vivienda multifamiliar","51 a 100 personas","CALLE","CÓRDOBA","CALLE","María","CALLE","EMMA","CALLE","JUSTINA","73",,,,"2",,"COLONIA","NATIVITAS",,,,"06700","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","003",,"INFO@FACTOREFICIENCIA.COM",,"Fijo","19.38080083","-99.13656261","2010-07"
"9338419","09014236112000553000000000U9","CONSTRUCTORA LOTHOR","CONSTRUCTORA LOTHOR SA DE CV","236112","Edificación de vivienda multifamiliar","11 a 30 personas","CALLE","NAVARRA","EJE VIAL","4 SUR XOLA","CALLE","TARRAGONA","EJE VIAL","CENTRAL LÁZARO CÁRDENAS","187",,,,,,"COLONIA","ALAMOS",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","012A","015",,"COROPORATIVOALAMOS@YAHOO.COM",,"Fijo","19.39474196","-99.14553728","2021-05"
"9319035","09014236112000501000000000U1","CONSTRUCTORA URBYMAQ","CONSTRUCTORA URBYMAQ SA DE CV","236112","Edificación de vivienda multifamiliar","31 a 50 personas","CALLE","PALENQUE","CALLE","SAN BORJA","EJE VIAL","6 SUR (ANGEL URRAZA)","CALLE","PETUN","467",,,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","003",,,,"Fijo","19.38105335","-99.1537034","2020-11"
"6144751","09014236211000141011000000U3","CONTRUCTORA BOHER","CONTRUCTORA BOHER SA DE CV","236111","Edificación de vivienda unifamiliar","6 a 10 personas",,"TRANSPORTES","CALLE","CORRESPONDENCIA","CERRADA","TRANSPORTES","CALLE","REEMBOLSOS","22",,,,"3",,"COLONIA","POSTAL",,,,"03410","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0308","018",,,,"Fijo","19.39171232","-99.14145926","2014-12"
"9317204","09014236112000531000000000U9","CONTRUCTORA KANONO","CONSTRUCTORA KANONO SA DE CV","236112","Edificación de vivienda multifamiliar","51 a 100 personas","CALLE","CORRESPONDENCIA","CALZADA","CALZADA DE TLALPAN","CALLE","CERTIFICADOS POSTALES","CALLE","UNION POSTAL","4",,,,,,"COLONIA","POSTAL",,,,"03410","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0308","021",,,,"Fijo","19.39168971","-99.13875711","2020-11"
"9317851","09014236111001481000000000U4","CREATIVIDAD Y DISEÑO ARQUITECTOS","CREATIVIDAD Y DISEÑO ARQUITECTOS SA DE CV","236111","Edificación de vivienda unifamiliar","31 a 50 personas","CALLE","TORRES ADALID","EJE VIAL","1 PONIENTE (AVENIDA CUAUHTUMOC)","CALLE","YACATAS","CALLE","LUZ SAVIÑON","8",,,,"7",,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","016","5527142636","CREDIASA@YAHOO.COM.MX",,"Fijo","19.38925159","-99.1560612","2020-11"
"9338471","09014236111001641000000000U3","CUE CONSTRUCCIONES URBANIZACIONES Y EDIFICACIONES","CUE CONSTRUCCIONES URBANIZACIONES Y EDIFICACIONES SA DE CV","236111","Edificación de vivienda unifamiliar","0 a 5 personas","CALLE","TENAYUCA","PEATONAL","CHICHÉN ITZÁ","PEATONAL","MATÍAS ROMERO","RETORNO","MATÍAS ROMERO","55",,"55","20","401",,"COLONIA","LETRAN VALLE",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","029",,,,"Fijo","19.37893658","-99.15824047","2021-05"
"9334282","09014236111001672000000000U8","DESARROLLO Y CONSTRUCCION PANTALEON","DESARROLLOS Y CONSTRUCCION PANTALEON SA DE CV","236111","Edificación de vivienda unifamiliar","6 a 10 personas","CALLE","PILARES","CALLE","TAJÍN","CALLE","PETÉN","CALLE","PETÉN","1022",,"1022","1","0","SN","COLONIA","LETRAN VALLE",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","003",,,,"Fijo","19.37566789","-99.15587471","2021-05"
"964864","09014238221000763000000000U1","DICORECSA INSTALACIONES HIDROSANITARIAS","DICORECSA SA DE CV","238221","Instalaciones hidrosanitarias y de gas","11 a 30 personas","EJE VIAL","CENTRAL (LAZARO CARDENAS)","EJE VIAL","5 SUR (EUGENIA)","CALLE","RASCARRABIAS","CALLE","ZEMPOALA","899",,"EDIFICIO SIN NOMBRE","22",,,"COLONIA","VERTIZ NARVARTE",,,,"03600","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0454","005","5556724153",,,"Fijo","19.38310218","-99.14776899","2010-07"
"903424","09014238210000472001000000U2","DISEÑOS INSTALACIONES Y MONTAJES MODERNOS","DISEÑOS INSTALACIONES Y MONTAJES MODERNOS SA DE CV","238210","Instalaciones eléctricas en construcciones","0 a 5 personas","CALLE","LAGO PONIENTE","CALZADA","CALZADA DE TLALPAN","CALLE","ROSA BLANCA","PRIVADA","PRIVADA DE LUISA","16",,,,"208","B","COLONIA","AMERICAS UNIDAS",,,,"03640","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0505","019","5552436043","DYMMSA@YAHOO.COM.MX",,"Fijo","19.37935391","-99.14064802","2014-12"
"8392051","09014238221000991000000000U8","DISEÑOS Y MONTAJES MODERNOS","DISEÑOS Y MONTAJES MODERNOS SA DE CV","238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","LAGO PONIENTE","CALZADA","CALZADA DE TLALPAN","CALLE","ROSA BLANCA","PRIVADA","PRIVADA DE LUISA","16",,"EDIFICIO SIN NOMBRE","17",,,"COLONIA","AMERICAS UNIDAS","EDIFICIO COMERCIAL Y DE SERVICIOS","LAGO PONIENTE","16","03640","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0505","019",,"DIMMSA@YAHOO.COM.MX",,"Fijo","19.37940799","-99.14105718","2019-11"
"903891","09014236111001131011000000U5","ELQUES DISEÑO Y CONSTRUCCIONES","ELQUES DISEÑO Y CONSTRUCCIONES SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"1 PONIENTE (AVENIDA CUAUHTÉMOC)","CALLE","PILARES","CALLE","MIGUEL LAURENT","CALLE","ANAXAGORAS","1185",,"EDIFICIO SIN NOMBRE","22","0",,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","033",,,,"Fijo","19.38004939","-99.15902458","2014-12"
"965433","09014463112000101000000000U0","FC 2 NUEVA IMAGEN",,"238340","Colocación de pisos cerámicos y azulejos","0 a 5 personas","CALLE","FERNANDO MONTES DE OCA","EJE VIAL","5 SUR (GABRIEL RAMOS MILLAN)","CALLE","ROMERO","CALLE","ISABEL LA CATÓLICA","103",,,,,,"COLONIA","AMERICAS UNIDAS",,,,"03610","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0488","002",,"FC2NUEVAIMAGEN@GMAIL.COM.MX",,"Fijo","19.3833443","-99.14268719","2010-07"
"8539533","09014238221001121000000000U1","FONTANERIA SIN NOMBRE",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","PALENQUE","CALLE","SAN BORJA","EJE VIAL","5 SUR (EUGENIA)","AVENIDA","DOCTOR JOSÉ MARÍA VÉRTIZ","452",,,,,"LOCAL B","COLONIA","VERTIZ NARVARTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","011",,,,"Fijo","19.38206447","-99.1534049","2019-11"
"9329165","09014236112000543000000000U0","GRUPO GUAJIM","GRUPO GUAJIM SA DE CV","236112","Edificación de vivienda multifamiliar","11 a 30 personas","CALLE","PALENQUE","CALLE","Torres Adalid","CALLE","Concepcion Beistegui","CALLE","Peten","265",,,,,,"COLONIA","NARVARTE PONIENTE",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0435","016",,,,"Fijo","19.38824244","-99.1524529","2020-11"
"6694500","09014236221000541011000000U3","GRUPO LOZA CONSTRUCCIONES","GRUPO LOZA CONSTRUCCIONES SA DE CV","236211","Edificación de naves y plantas industriales, excepto la supervisión","31 a 50 personas",,"MATÍAS ROMERO","CALLE","PITAGORAS","CALLE","PESTALOZZI","CALLE","PILARES","1204",,"7","23","706",,"COLONIA","DEL VALLE",,,,"03100","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","002",,"GPOLOZA@PROGIGY.NET.MX",,"Fijo","19.37861349","-99.15511867","2016-01"
"8489043","09014238350000023000000000U7","I PRAECO","I PRAECO SA DE CV","238350","Realización de trabajos de carpintería en el lugar de la construcción","11 a 30 personas","AVENIDA","DOCTOR JOSE MARIA VERTIZ","EJE VIAL","4 SUR (XOLA)","AVENIDA","UNIVERSIDAD","CALLE","PALENQUE","763",,,,"0",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0083","008",,,"WWW.IPRAECO.MX","Fijo","19.39453714","-99.15125994","2019-11"
"6144613","09014237121000014001000000U2","INGENIERIA EN ALTA MEDIA Y BAJA TENSION",,"237121","Construcción de sistemas de distribución de petróleo y gas","31 a 50 personas","CALLE","ISABEL LA CATOLICA","CALLE","ROMERO","EJE VIAL","5 SUR  GABRIEL RAMOS MILLAN","CALLE","VIRGILIO URIBE","1059",,,,,,"COLONIA","AMERICAS UNIDAS",,,,"03610","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0295","007",,,,"Fijo","19.38817746","-99.14324561","2010-07"
"6711922","09014236221001261001000000U7","INMOBILIARIA BEVAMAR","INMOBILIARIA BEVAMAR SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"CUMBRES DE ACULTZINGO","CALLE","LA QUEMADA","CALLE","MITLA","CALLE","CUMBRES DE MALTRATA","26",,,,"0",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","007",,,,"Fijo","19.3922611","-99.14972227","2016-01"
"872426","09014238210000021000000000U7","INSTALACIONES ELECTROMECANICAS COMPLEJAS","INSTALACIONES ELECTROMECANICAS COMPLEJAS SA DE CV","238210","Instalaciones eléctricas en construcciones","6 a 10 personas","CALLE","TRANSPORTES","CALLE","CORRESPONDENCIA","CERRADA","TRANSPORTES","CALLE","REEMBOLSOS","22",,,,"1",,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0308","018",,"INSELECSACV@PRODYLLI.NET.MX",,"Fijo","19.39175188","-99.14145388","2011-03"
"8488557","09014238210000773000000000U3","INTALACION DE CABLEADO ESTRUCTURADO TOTAL SOLUTIONS & TELECOM",,"238210","Instalaciones eléctricas en construcciones","11 a 30 personas","CALLE","ISABEL LA CATOLICA","EJE VIAL","4 SUR (XOLA)","CALLE","CUENCA","CALLE","ASTURIAS","818","3",,,,,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0134","005","5570959202","LETICIA.JIMENEZ@TSYT.COM.MX",,"Fijo","19.39297082","-99.14165113","2019-11"
"6144718","09014237999000081011000000U0","J ROMERO CONSTRUCCIONES HIDRAULICAS","J ROMERO CONSTRUCCIONES HIDRAULICAS SA DE CV","237111","Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje","31 a 50 personas",,"LAURA","CALLE","JAVIER SORONDO","CALLE","EMMA","CALLE","FRANCISCO FERNANDEZ DEL CASTILLO","68",,,,"0",,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0331","002",,,,"Fijo","19.38483285","-99.13613441","2011-03"
"6709760","09014236221000904000000000U3","JAGE CONSTRUCCIONES","JAGE CONSTRUCCIONES SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas",,"DR. VÉRTIZ NO. 1102",,"SERAFÍN OLARTE",,"SAN BORJA",,"BONAMPAK","1102",,,,,,,"VERTIZ NARVARTE",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0454","013","56743018",,,"Fijo","19.38135678","-99.15277384","2016-01"
"9462066","09014238210000871000000000U5","MANTENIMIENTO ELECTRICO GALAN CAMARENA",,"238210","Instalaciones eléctricas en construcciones","0 a 5 personas","CALLE","SEVILLA","CALLE","MIGUEL LAURENT","CALLE","NECAXA","CALLE","BULGARIA","106","C",,,,,"COLONIA","PORTALES NORTE",,,,"03303","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0774","010",,,,"Fijo","19.37303319","-99.1511325","2023-11"
"6695190","09014237999000251011000000U9","MAQUINARIA Y CONSTRUCCIONES LUZCAR","MAQUINARIA Y CONSTRUCCIONES LUZCAR SA DE CV","238910","Preparación de terrenos para la construcción","11 a 30 personas","EJE VIAL","6 SUR (INDEPENDENCIA)","CALLE","JOSU SIMON BOLIVAR","CALLE","RAFAEL MARTINEZ RIP RIP","CALLE","SERAFIN OLARTE","52",,,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","012",,,,"Fijo","19.37914874","-99.14712223","2016-01"
"7255228","09014238221001011000000000U4","MASTER MULTISERVICIOS PLOMERIA Y ELECTRICIDAD",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","ANAXAGORAS","CALLE","LUZ SAVIÑON","CALLE","TORRES ADALID","CALLE","PITÁGORAS",,"SN","MERCADO PUBLICO","5",,,"COLONIA","NARVARTE PONIENTE","MERCADO PUBLICO","MERCADO 24 DE AGOSTO","235","03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0257","019",,,,"Fijo","19.38985252","-99.15739027","2019-11"
"6707630","09014237131000033000000000U1","MULTIDIN","MULTIDIN SA DE CV","237131","Construcción de obras de generación y conducción de energía eléctrica","0 a 5 personas","CALLE","CALLE DUORAK",,,,,,,"26",,,,,,"COLONIA","COLONIA VALLEJO",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","006",,,,"Fijo","19.3905561","-99.15500474","2016-01"
"9328135","09014236211000231000000000U0","NUÑEZ CONSTRUCTORA Y COMPAÑIA","NUÑEZ CONSTRUCTORA Y COMPAÑIA SA DE CV","236211","Edificación de naves y plantas industriales, excepto la supervisión","6 a 10 personas","CALLE","CASAS GRANDES","CALLE","CUMBRES DE ACULTZINGO","CALLE","LUZ SAVIÑON","CALLE","DOCTOR JOSU MARIA BARRAGAN","0","SN","EDIFICIO SIN NOMBRE","20","405",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","008",,"NCONSTRUSTORA@YAHOO.COM.MX",,"Fijo","19.39219186","-99.14716918","2020-11"
"9421405","09014236112000571000000000U1","OPERINMOBIL","OPERINMOBIL SA DE CV","236112","Edificación de vivienda multifamiliar","0 a 5 personas","CALLE","5 DE FEBRERO","CALLE","AHORRO POSTAL","CALLE","GUIPUZCOA","CALLE","REEMBOLSOS","945",,,,,,"COLONIA","JOSEFA ORTIZ DE DOMINGUEZ",,,,"03430","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0308","016","5544288313","OPERINMOBIL@GMAIL.COM",,"Fijo","19.38818912","-99.1408813","2023-11"
"9329168","09014236221001833000000000U3","ORBITA INGENIERIA Y CONSULTORIA","ORBITA INGENIERIA Y CONSULTORIA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","CALLE","5 DE FEBRERO","CALLE","ROMERO","EJE VIAL","5 SUR (GABRIEL RAMOS MILLAN)","CALLE","HILARIO PUREZ DE LEON","1078",,,,,,"COLONIA","NIÑOS HEROES DE CHAPULTEPEC",,,,,"09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0492","001",,"ORBITA_INGENIERIA@HOTMAIL.COM",,"Fijo","19.38405141","-99.14144347","2020-11"
"961827","09014238221000051000000000U1","PLOMERIA",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","PETEN","CALLE","CONCEPCION BEISTEGUI","EJE VIAL","5 SUR (EUGENIA)","CALLE","TAJÍN","377",,,,"0","D","COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","008","5534563517",,,"Fijo","19.38480895","-99.15372046","2010-07"
"964790","09014238221000551000000000U0","PLOMERIA","SERVICIO CHAVEZ ","238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","CONCEPCION BEISTEGUI","AVENIDA","DOCTOR JOSE MARIA VERTIZ","CALLE","MONTE ALBAN","EJE VIAL","5 SUR (EUGENIA)","1813",,,,"0",,"COLONIA","NARVARTE ORIENTE",,,,"03023","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0435","012",,,,"Fijo","19.38619539","-99.15145312","2010-07"
"903312","09014238221000801000000000U9","PLOMERÍA",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","ZEMPOALA","CALLE","BARTOLOME R. SALIDO","CALLE","SAN BORJA","CALLE","BARTOLOMÉ R. SALIDO","34",,,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","008",,,,"Fijo","19.38173285","-99.14956006","2014-12"
"966524","09014238221000881000000000U1","PLOMERÍA ALFA",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","DON LUIS","CALZADA","CALZADA DE TLALPAN","CALLE","LUISA","CALLE","DON JUAN","29",,,,,"ANEXO 4","COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","021",,,,"Fijo","19.37999041","-99.1398622","2010-07"
"962473","09014238221000261000000000U6","PLOMERIA EL CODITO",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","ZEMPOALA","CALLE","ALONSO DE VILLASECA","CALLE","LUIS BRAILLE","CALLE","EDZNÁ","626","B",,,,"D","COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","028",,,,"Fijo","19.37805379","-99.15031922","2010-07"
"962439","09014238221000521000000000U3","PLOMERIA GAS ELECTRICIDAD ARANZA",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","RAFAEL MARTINEZ ""RIP RIP""","EJE VIAL","6 SUR (INDEPENDENCIA)","CALLE","LUIS BRAILLE","EJE VIAL","6 SUR (INDEPENDENCIA)","57",,,,,"B","COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","013",,,,"Fijo","19.37901058","-99.14757234","2010-07"
"960350","09014238221000321000000000U8","PLOMERIA PALENQUE",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","PALENQUE","CALLE","TORRES ADALID","CALLE","CONCEPCION BEISTEGUI","CALLE","PETÉN","257","B",,,,,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0435","016",,,,"Fijo","19.38847967","-99.15241228","2010-07"
